keyword,correlation
Riot,0.6537990372569883
Protest,0.839918403385947
Pizza,0.1065971311345897
Police,0.7532563856960889
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.6564087711181114
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.6564087711181114
Crime,0.655642005519206
Crime,0.6564087711181114
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.655642005519206
Crime,0.6714006942324267
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.8398879055677484
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.8399872672418169
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.8399872672418169
Protest,0.839918403385947
Protest,0.8397570365621544
Protest,0.8399872672418169
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.839918403385947
Protest,0.8399636392195329
Protest,0.8399636392195329
Protest,0.8399636392195329
Protest,0.8399636392195329
Protest,0.8399636392195329
Protest,0.8399636392195329
Protest,0.8399636392195329
PIzza,0.8399636392195329
Pizza,0.8399636392195329
Pizza,0.16947308860485705
Pizza,0.16947308860485705
Pizza,0.16947308860485705
Pizza,0.16947308860485705
Pizza,0.16947308860485705
Protest,0.16947308860485705
Protest,0.8396639667444782
Capitol,-0.0570144002607998
Police,0.7699365951177184
Police + killing,0.7188686573505785
Protest,0.8399636392195329
Protest,0.8438019562772797
BLM,0.6480262344573042
Protest,0.8399636392195329
Protest,0.8396639667444782
Protest,0.8360250759448584
Lockdown,0.03824172729965899
Protest,0.8309602518316508
Protest,0.8309602518316508
Protest,0.8269816591156691
Cheese,0.003090045924089455
Cheese,0.003090045924089455
Protest,0.8309602518316508
Protest,0.8309602518316508
Protest,0.8401488061526198
Protest,0.8308849412340035
Protest meeting,
Riot,0.6360514222626459
Dog,0.19570567799126254
Riot,0.6126288463116241
Protest,0.8219639551259398
Protest,0.8488076378086085
Protest,0.8299154038385393
Yoghurt,0.04017126270379043
Bikini,0.20562995445879365
Trump,-0.00028924863228421384
Protest,0.8340514942433438
Toast,-0.08587549795564076
Cop,0.7138968893803892
Police,0.7378499231683162
ACAB,0.8180942488815041
BLM,0.6706139966538233
SWAT,0.05358840341171416
MAGA,0.11657866789627687
Protest,0.8340514942433438
Capitol,-0.056719461826038674
Protest,0.8301609222709838
Gun,0.14947064687266234
Spaghetti,-0.05498851341491787
Protest,0.8323003531749796
